codigo;descricao;funcionalidade;video;fotos
41010;Fechadura Franzmar Vidro Ct 1010 Cilindro Redondo ;Fechadura Franzmar Vidro CT 1010 Cilindro Redondo - MM Fechaduras FranzmarSeguranCa e praticidade para suas portas de vidroA Fechadura Franzmar Vidro CT 1010 Cilindro Redondo é a soluCão ideal para quem busca seguranCa e sofisticaCão em suas portas de vidro. Com cilindro de formato redondo, oferece um mecanismo confiável e resistente para proteger seu ambiente.Diferenciais:Versatilidade: Ideal para portas de vidro com recorte para porta de giro, proporcionando um encaixe perfeito e discreto.Qualidade: Fabricada pela Franzmar, referência em produtos de seguranCa.Mais sobre o Produto:Além de sua alta resistência e durabilidade, a Fechadura Franzmar Vidro CT 1010 Cilindro Redondo destaca-se pela facilidade de instalaCão e operaCão. Seu design discreto e elegante combina com diferentes estilos de decoraCão, valorizando a estética do ambiente.Dicas de Uso:Para garantir o pleno funcionamento da fechadura, mantenha-a sempre livre de sujeira e lubrificada periodicamente. Certifique-se de realizar a instalaCão de acordo com as instruCões fornecidas pelo fabricante para garantir a seguranCa e eficiência do produto.Ficha Técnica:Marca: MM Fechaduras - FranzmarModelo: Fechadura Franzmar Vidro CT 1010 Cilindro RedondoCategoria: Fechaduras Porta de VidroPeso: 235gMaterial: ACo resistente;;
41020;Fechadura Franzmar Vidro CT 1020 Cilindro Oval ;Fechadura Vidro CT 1020 Franzmar Cilindro OvalFechadura elegante e segura para portas de vidroA Fechadura Vidro CT 1020 Franzmar Cilindro Oval é ideal para quem busca seguranCa e sofisticaCão em portas de vidro. Com um design moderno e funcional, ela é produzida em material resistente Zamac e Inox, garantindo durabilidade e proteCão para seu ambiente.Diferenciais:Cilindro Oval Pino Longo Chumbaloi.Especialmente projetada para portas de vidro com recorte para porta de giro.Acompanha 2 chaves para maior comodidade e tranquilidade.Marca renomada Franzmar, sinônimo de qualidade e confiabilidade.Mais sobre o Produto:Essa fechadura é perfeita para garantir a seguranCa de suas portas de vidro, mantendo a elegância e o estilo do ambiente. Seu formato de cilindro oval e pino longo proporciona um encaixe perfeito, enquanto o material em Zamac e Inox assegura resistência e durabilidade.Dicas de Uso:Instale a Fechadura Franzmar Vidro CT 1020 Cilindro Oval em suas portas de vidro com recorte para porta de giro para obter mais seguranCa e praticidade. Utilize as chaves fornecidas para maior controle de acesso ao ambiente.Ficha Técnica:Marca: MM Fechaduras - FranzmarMaterial: Zamac / INOXAcompanha 2 chavesPeso: 188gCategoria: Fechaduras Porta de Vidro;;
41125;Fechadura Vouga EXT CX 40 1125 FC E 65 CR;"Fechadura Vouga Modelo Fama 40 mm&nbsp;A fechadura vouga modelo fama&nbsp; é ideal para garantir seguranCa e praticidade em sua residência ou ambiente de trabalho.Diferenciais:Fechadura Vouga externa com maquina de 40mm.Acabamento cromado garantindo durabilidade e sofisticaCão.Mais sobre o Produto:A fechadura vouga oferece um sistema seguro para o fechamento de portas, proporcionando tranquilidade aos usuários. Seu acabamento cromado confere um visual moderno e elegante ao ambiente, combinando com diversos estilos de decoraCão.Dicas de Uso:Para instalar a fechadura, certifique-se de seguir as instruCões do fabricante e contar com um profissional qualificado. Mantenha a fechadura sempre limpa e lubrificada para garantir o seu bom funcionamento e prolongar sua vida útil.Ficha Técnica:Marca: VougaModelo: Fama 40 mmTipo: ExternaAcabamento: CromadoCódigo: 41125Categoria: Fechaduras P/ Portas em GeralCom a fechadura Vouga, sua seguranCa e estilo estão garantidos. Adquira já a sua e tenha mais tranquilidade em seu dia a dia!";;
41201;Fechadura Porta de ACo Stam 1201 Tetra Preto Fosco  - 41201;Fechadura Porta de ACo Stam 1201 Tetra Preto FoscoSeguranCa e qualidade para empresas e comérciosA Fechadura Porta de ACo Stam 1201 Tetra Preto Fosco é a soluCão ideal para garantir a seguranCa de bares, comércios, indústrias e demais empresas. Com a renomada qualidade da marca Stam, essa fechadura é projetada especificamente para portas de enrolar, proporcionando tranquilidade e proteCão contra invasões.Diferenciais:Acompanha 2 chaves Tetra para maior praticidade e seguranCa.Design moderno em Preto Fosco que se adapta a diversos estilos de decoraCão.Fácil instalaCão e resistência garantida pela marca Stam.Mais sobre o Produto:Com medidas de 4,8 x 1,5 x 24cm e peso de 0,39Kg, a Fechadura Porta de ACo Stam 1201 Tetra Preto Fosco oferece praticidade e eficiência no dia a dia, além de um visual discreto que combina com diferentes ambientes.Dicas de Uso:Instale a fechadura em sua porta de enrolar seguindo as instruCões do manual para garantir o funcionamento adequado. Utilize as chaves Tetra com cuidado, mantendo sempre uma chave reserva em local seguro.Ficha Técnica:Marca: StamCategoria: Fechadura Porta de ACo de enrolarMedidas (C x A x L): 4,8 x 1,5 x 24cm;;
41253;Fechadura Vouga Bico Papagaio 1253;Fechadura Vouga Bico Papagaio 1253SeguranCa e funcionalidade em um único produto:A fechadura vouga bico papagaio é a opCão perfeita para portas de correr de perfil estreito, garantindo seguranCa e praticidade. Com distância de broca de 19mm, esta fechadura da Vouga é a escolha ideal para manter seus ambientes protegidos de forma eficiente.Design Inovador: Com um design elegante e funcional, essa fechadura proporciona um fechamento preciso e seguro.Fácil InstalaCão: Sua instalaCão é simples e prática, sendo uma ótima opCão para quem busca qualidade aliada à facilidade de uso.Alta Durabilidade: Fabricada com materiais resistentes, a fechadura vouga garante durabilidade e eficiência por muito tempo.Dicas de Uso:Utilize essa fechadura em portas de correr em ambientes internos ou externos, garantindo seguranCa e proteCão sem perder a elegância na decoraCão do espaCo.Ficha Técnica:Marca: VougaCategoria: Fechadura Porta de CorrerCódigo: 41253Ideal para portas de correr de perfil estreitoDistância de Broca: 19mm;;
41329;Cilindro Franzmar Redondo CR - 41329;"Cilindro Franzmar Redondo CR&nbsp;O cilindro redondo&nbsp;da Franzmar é a soluCão ideal para garantir a seguranCa de suas fechaduras com praticidade e qualidade.Diferenciais:Produto da Franzmar, sinônimo de confianCa e durabilidade no mercado de ferragens;Design elegante e funcional, compatível com diversos tipos de fechaduras;Fabricado com materiais de alta qualidade, garantindo resistência e longa vida útil.Mais sobre o Produto:Ideal para substituir cilindros danificados ou desgastados, proporcionando um funcionamento suave e seguro.Compatível com fechaduras de diferentes modelos e marcas, oferecendo versatilidade em sua aplicaCão.Fácil instalaCão, permitindo que você mesmo faCa a substituiCão de forma prática e rápida.Dicas de uso:Antes de instalar o cilindro, verifique se o modelo é compatível com a sua fechadura para garantir um encaixe perfeito.Utilize sempre ferramentas adequadas para a substituiCão do cilindro, seguindo atentamente as instruCões do fabricante.Mantenha o cilindro limpo e lubrificado regularmente para garantir o seu bom funcionamento e prolongar sua vida útil.Ficha Técnica:Marca: FranzmarModelo: Redondo CRCódigo: 41329&nbsp;Categoria: Cilindro FechaduraCompatibilidade: Fechaduras de diversos modelosMaterial: Resistente e durávelFácil instalaCão: SimDimensões: Conferir com o modelo existenteGarantia: InformaCões disponíveis com o fabricante";;
41608;Fechadura STAM EXT CX 55 1600/08 Tetra Bola CR - 41608;Fechadura Stam Larga 1600/08 Tetra Inox BolaQualidade e SeguranCa para suas PortasA Fechadura Stam Larga 1600/08 Tetra Inox Bola é a soluCão ideal para portas de madeira com batente de 80mm. Com acabamento em ACo Inoxidável, essa fechadura foi projetada para uso externo, proporcionando durabilidade e resistência.Diferenciais do Produto:MaCaneta em formato de bola, garantindo conforto no manuseio.Medidas precisas: Distância de broca de 55 mm e distância de eixo de 70 mm.Largura de 74 mm, ideal para diferentes tipos de portas.Marca Stam, sinônimo de qualidade e confiabilidade.Mais sobre o Produto:A Fechadura Stam Larga 1600/08 Tetra Inox Bola é indicada para quem busca seguranCa e sofisticaCão em suas portas externas. Seu design moderno e acabamento em aCo inoxidável agregam valor estético ao ambiente, além de garantir proteCão e tranquilidade para você e sua família.Dicas de Uso:Para garantir o melhor desempenho e durabilidade da fechadura, recomenda-se a instalaCão por um profissional qualificado. Mantenha a limpeza regular do produto, utilizando apenas produtos específicos para aCo inoxidável, evitando o uso de materiais abrasivos que possam danificar o acabamento.Ficha Técnica:UtilizaCão: ExternaAcabamento: ACo InoxidávelMaCaneta: BolaDistância de Broca: 55 mmDistância de Eixo: 70 mmLargura: 74 mmMarca: Stam;;
41701;Fechadura Sobrepor de Portão STAM 1701/100 Chave Tetra;SeguranCa e Qualidade para sua Família!A Fechadura Sobrepor de Portão Stam é a opCão ideal para garantir a seguranCa da sua família com qualidade superior da marca líder nacional em fechaduras e cadeados, STAM. Seu design em preto fosco com espelho em inox confere um visual elegante e moderno para sua porta ou portão. Com 4 chaves tetra, proporciona praticidade e tranquilidade no seu dia a dia.Diferenciais:Acompanha 4 chaves tetra, chapa contra testa e parafusos de instalaCão.Possui reversão do trinco, permitindo uso em portões com abertura tanto para dentro quanto para fora.Com instruCões de instalaCão na embalagem, tornando o processo ainda mais simples.ComposiCão em aCo ABNT 1010/1020, aCo inoxidável, latão e zamac 5, garantindo resistência e durabilidade.Mais sobre o Produto:Modelo: 1701/100 chave tetraMarca: STAMCor: Preto fosco com Espelho inoxTipo de instalaCão: SobreporQuantidade de voltas: 2 VoltasPeso: 850gCategoria: Fechadura Sobrepor PortãoDicas de Uso:Para garantir o melhor desempenho da fechadura, siga corretamente as instruCões de instalaCão fornecidas na embalagem. Mantenha o produto sempre limpo e lubrificado para garantir o bom funcionamento. FaCa a reversão do trinco de acordo com a necessidade de abertura do seu portão, trazendo mais versatilidade ao uso.Ficha Técnica:Material: ACo ABNT 1010/1020, ACo Inoxidável, Latão, Zamac 5Acompanha: 1 fechadura, 4 chaves tetra, 1 chapa contra testa e parafusos de instalaCãoMedidas do produto: Confira a imagem no anúncio;;
42005;Fechadura Stam Nice 1005 Pivotante - Roseta Quadrada Cromada;Fechadura Stam Nice 1005 Pivotante - Roseta Quadrada CromadaSeguranCa e SofisticaCão para sua Porta Pivotante!Apresentamos a Fechadura Stam Nice 1005 Pivotante com Roseta Quadrada Cromada, ideal para quem busca qualidade e estilo. Com máquina 1005 Trinco Rolete, essa fechadura proporciona seguranCa e praticidade para portas pivotantes externas. Feita em ACo ABNT 1010/1020, Zamac, ACo Inox, Latão e Plástico de Engenharia, garante durabilidade e resistência.Diferenciais:SeguranCa ReforCada: A Fechadura Stam Nice 1005 Pivotante conta com 3100 segredos, garantindo a proteCão do seu ambiente.Acabamento Cromado de Luxo: Roseta quadrada cromada que agrega elegância e sofisticaCão à sua porta.Compatibilidade: Indicada para uso com puxadores, oferece versatilidade no design do seu ambiente.Mais sobre o Produto:AplicaCões: Externa.ComposiCão: ACo ABNT 1010/1020, Zamac, ACo Inox, Latão, Plástico de Engenharia.Acessórios: Chave, roseta, cilindro, contra testa.Cilindro: Bi-Partido de Pinos.Distância de Broca: 45mm.Linha: Trinco Rolete.Embalagem: Caixa.Dicas de Uso:Para obter o máximo de seguranCa e durabilidade, recomendamos a instalaCão por um profissional qualificado. Combine a Fechadura Stam Nice 1005 Pivotante com puxadores que harmonizem com o acabamento cromado, garantindo um visual elegante.Ficha Técnica:Marca: StamMáquina: 1005 Trinco RoleteAplicaCão: ExternaSegredos: 3100Roseta: Zamac 5Distância de Broca: 45 mmCompatível com Portas Pivotantes de Entrada (Externa ou Interna);;
42006;Fechadura STAM Pivotante Nice 1005 Roseta Redonda Inox;Fechadura Stam Pivotante Nice 1005 Roseta Redonda InoxSeguranCa e SofisticaCão em um Único ProdutoA Fechadura Stam Pivotante Nice 1005 Roseta Redonda Inox é a escolha perfeita para quem busca aliar seguranCa e design refinado em sua porta externa. Com a renomada qualidade da marca Stam, este modelo oferece um desempenho excepcional, além de um visual elegante que irá valorizar a entrada de sua casa.Diferenciais:Máquina 1005 Trinco Rolete para maior seguranCaAplicaCão externa ideal para portas de acesso principalCilindro bi-partido de pinos para proteCão extraRoseta redonda em aCo inox que garante durabilidade e resistênciaComposiCão em materiais de alta qualidade como aCo ABNT 1010/1020, Zamac, latão e plástico de engenhariaAcompanha chave, roseta, cilindro e contra testa para instalaCão completaMais sobre o Produto:Além de proporcionar seguranCa, a Fechadura Stam Pivotante Nice 1005 conta com um design moderno que se adapta a diversos estilos de decoraCão. Seu trinco rolete e cilindro bi-partido garantem o travamento eficaz da porta, proporcionando tranquilidade e proteCão para você e sua família.Dicas de Uso:Para maximizar a durabilidade da fechadura, recomenda-se realizar a manutenCão regularmente, lubrificando o mecanismo com óleo mineral. Além disso, procure instalar o produto em portas de material resistente para garantir sua eficácia.Ficha Técnica:Marca: StamLinha: Trinco RoleteAplicaCão: ExternaModelo: Pivotante Nice 1005Roseta: Redonda em ACo InoxComposiCão: ACo ABNT 1010/1020, Zamac, ACo Inox, Latão, Plástico de EngenhariaAcessórios: Chave, roseta, cilindro, contra testaDistância de Broca: 45 mm;;
42007;Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Inox;Fechadura Stam 1005 Pivotante Tetra Rolete Roseta InoxProteCão e design para sua portaA Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Inox é a soluCão ideal para quem busca seguranCa e sofisticaCão em um único produto. Com trinco rolete e roseta quadrada em Inox, essa fechadura é perfeita para portas pivotantes, garantindo durabilidade e resistência.Diferenciais:Fechadura de embutir, ideal para aberturas de madeira.Compatível com aberturas de 25mm a 45mm de espessura.Acompanha 4 chaves, proporcionando praticidade e comodidade.Marca Stam, referência em qualidade e confianCa.Mais sobre o Produto:A Fechadura Stam 1005 foi projetada especialmente para portas pivotantes, oferecendo um mecanismo de trinco rolete que garante um fechamento eficiente e seguro. Seu acabamento em Inox proporciona um visual moderno e elegante, combinando com diferentes estilos de decoraCão.Dicas de uso:Para garantir o melhor desempenho da fechadura, recomenda-se instalá-la em portas de madeira com a espessura adequada. Realize a limpeza periódica com um pano macio e úmido, evitando o uso de produtos químicos que possam danificar o acabamento em Inox.Ficha Técnica:Tipo: Fechadura de embutirMaterial: InoxCompatibilidade: Portas pivotantes de 25mm a 45mm de espessuraQuantidade de chaves: 4Marca: StamGaranta já a seguranCa e elegância que sua porta merece com a Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Inox!;;
42007;Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Redonda Inox;Fechadura Stam 1005 Pivotante Tetra Rolete Roseta redonda InoxProteCão e design para sua portaA Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Redonda Inox é a soluCão ideal para quem busca seguranCa e sofisticaCão em um único produto. Com trinco rolete e roseta quadrada em Inox, essa fechadura é perfeita para portas pivotantes, garantindo durabilidade e resistência.Diferenciais:Fechadura de embutir, ideal para aberturas de madeira.Compatível com aberturas de 25mm a 45mm de espessura.Acompanha 4 chaves, proporcionando praticidade e comodidade.Marca Stam, referência em qualidade e confianCa.Mais sobre o Produto:A Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Redonda Inox é indicada especialmente para portas pivotantes, oferecendo um mecanismo de trinco rolete que garante um fechamento eficiente e seguro. Seu acabamento em Inox proporciona um visual moderno e elegante, combinando com diferentes estilos de decoraCão.Dicas de uso:Para garantir o melhor desempenho da fechadura, recomenda-se instalar em portas de madeira com a espessura adequada. Realize a limpeza periódica com um pano macio e úmido, evitando o uso de produtos químicos que possam danificar o acabamento em Inox.Ficha Técnica:Tipo: Fechadura de embutirMaterial: InoxCompatibilidade: Portas pivotantes de 25mm a 45mm de espessuraQuantidade de chaves: 4Marca: StamA Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Redonda Inox une seguranCa e elegância, sendo a escolha perfeita para quem busca um produto de qualidade e durabilidade para suas portas. Garanta já o seu e sinta a diferenCa no seu ambiente!;;
42007;Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Inox;Fechadura Stam 1005 Pivotante Tetra Rolete Roseta InoxProteCão e design para sua portaA Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Inox é a soluCão ideal para quem busca seguranCa e sofisticaCão em um único produto. Com trinco rolete e roseta quadrada em Inox, essa fechadura é perfeita para portas pivotantes, garantindo durabilidade e resistência.Diferenciais:Fechadura de embutir, ideal para aberturas de madeira.Compatível com aberturas de 25mm a 45mm de espessura.Acompanha 4 chaves, proporcionando praticidade e comodidade.Marca Stam, referência em qualidade e confianCa.Mais sobre o Produto:A Fechadura Stam 1005 Pivotante Tetra Rolete Roseta Inox é indicada especialmente para portas pivotantes, oferecendo um mecanismo de trinco rolete que garante um fechamento eficiente e seguro. Seu acabamento em Inox proporciona um visual moderno e elegante, combinando com diferentes estilos de decoraCão.Dicas de uso:Para garantir o melhor desempenho da fechadura, recomenda-se instalar em portas de madeira com a espessura adequada. Realize a limpeza periódica com um pano macio e úmido, evitando o uso de produtos químicos que possam danificar o acabamento em Inox.Ficha Técnica:Tipo: Fechadura de embutirMaterial: InoxCompatibilidade: Portas pivotantes de 25mm a 45mm de espessuraQuantidade de chaves: 4Marca: Stam;;
42008;Fechadura Bico de Papagaio Duplo Stam Basel 1008 Espelho Inox;Fechadura Bico de Papagaio Duplo Stam Basel 1008 Espelho InoxA fechadura de qualidade que você precisa para garantir seguranCa e sofisticaCão em sua portaProteja com elegância com a Fechadura Bico de Papagaio Duplo Stam Basel 1008 Espelho Inox, da Stam. Composta por ACo ABNT 1010/1020, Zamac, ACo Inox, Latão e Plástico de Engenharia, esta fechadura oferece durabilidade e resistência incomparáveis. Seu design moderno e sofisticado com espelho inox agrega estilo e valor ao seu ambiente.Diferenciais:AplicaCão versátil em Tetra ExternaAcompanha acessórios: chave, roseta e contra testaDistância de broca de 30 mm para instalaCão facilitadaComposiCão de materiais de alta qualidade para garantir seguranCaIdeal para portas de correrEmbalagem resistente em caixa para garantir a integridade do produtoMais sobre o Produto:A Fechadura Bico de Papagaio Duplo Stam Basel 1008 Espelho Inox é perfeita para residências, escritórios, comércios e demais espaCos que necessitam de proteCão e beleza. Seu mecanismo preciso e seguro permite abrir e fechar a porta com facilidade, proporcionando tranquilidade e conforto aos usuários.Dicas de Uso:Para obter o melhor desempenho da Fechadura Stam, certifique-se de realizar a instalaCão corretamente seguindo as orientaCões do manual do produto. Limpe regularmente com um pano macio e seco para manter o brilho do espelho inox e prolongar a durabilidade da fechadura.Ficha Técnica:Marca: StamModelo: Basel 1008Material: ACo ABNT 1010/1020, Zamac, ACo Inox, Latão, Plástico de EngenhariaAcabamento: Espelho InoxAplicaCão: Tetra ExternaAcessórios: Chave, roseta, contra testaDistância de Broca: 30 mmLinha: Porta de CorrerEmbalagem: Caixa;;
42010;Fechadura Franzmar Bico de Papagaio 2010 CT Cilindro Redondo;Fechadura Franzmar Bico de Papagaio 2010 CT Cilindro RedondoQualidade e seguranCa para sua porta de correrA Fechadura Franzmar Bico de Papagaio 2010 CT é a soluCão ideal para quem busca eficiência e praticidade em fechaduras para portas de correr. Com design inovador e tecnologia de ponta, esse modelo da Franzmar garante a seguranCa do ambiente de forma sofisticada.Diferenciais:Ideal para portas de vidro com recorte para correr.Cilindro redondo proporciona maior seguranCa.Fácil instalaCão e manuseio.Qualidade e durabilidade garantidas pela Franzmar.Mais sobre o Produto:Fechadura resistente e de alta durabilidade.Acabamento em metal cromado.Cilindro preciso que oferece proteCão contra invasões.Design moderno que se adequa a diferentes estilos de decoraCão.Dicas de uso:Certifique-se de instalar a fechadura corretamente, seguindo as instruCões do fabricante.Mantenha a fechadura sempre lubrificada para garantir seu bom funcionamento.Realize a limpeza regularmente para manter a estética do produto.Ficha Técnica:Marca: MM Fechaduras - FranzmarModelo: Bico de Papagaio 2010 CT Cilindro RedondoCategoria: Fechadura para porta de correrPeso: 262gMaterial: Metal cromado;;
42103;Fechadura Digital Smart Biométrica LFE-02 - 42103;Fechadura Digital Smart Biométrica LFE-02 - LuatekTecnologia e SeguranCa para o seu dia a diaA Fechadura Digital Smart Biométrica LFE-02 da Luatek é a soluCão ideal para quem busca praticidade e seguranCa. Com opCões de abertura via senha numérica, biometria, chaveiro de aproximaCão, app e chave mecânica, oferece múltiplas formas de acesso. Seu teclado touch screen luminoso proporciona uma digitaCão fácil e rápida.Diferenciais:Biometria discreta sem afetar a estética da portaBaixo consumo de bateriaCapacidade para até 100 acessos via biometriaIdeal para empresas e salas comerciais com acesso restritoMais sobre o Produto:Aviso sonoro de 1 minuto em caso de tentativas consecutivas de abertura falhas ou violaCãoChave mecânica para abertura em caso de emergênciaInclui 1 unidade externa, 1 unidade interna, 1 corpo da fechadura, 2 cartões RFID, 2 chaves para desbloqueio e 1 manual do usuário (baterias não inclusas)Dicas de uso:Cadastre as digitais dos usuários autorizados para um acesso mais prático e seguro.Ative o aviso sonoro para identificar tentativas de violaCão.Mantenha a chave mecânica em local de fácil acesso para situaCões emergenciais.Ficha técnica:Marca: LuatekPeso: 1000gCategoria: Fechaduras Digitais e Biométricas;;
42109;Fechadura Digital Biométrica DV 1000 - 42109;Fechadura Digital Biométrica DV 1000 - DovaleTecnologia e SeguranCa para o seu dia a diaA Fechadura Digital Biométrica DV 1000 da Dovale é a soluCão ideal para quem busca praticidade e seguranCa em ambientes empresariais e residenciais. Com diferentes opCões de abertura, como biometria digital, senha numérica touch screen, tag de aproximaCão, aplicativo, Bluetooth e até integraCão com Google Home e Alexa, esse produto oferece diversas possibilidades de acesso.Seu design discreto e elegante não compromete a estética da porta, garantindo um visual moderno. Além disso, a fechadura possui baixo consumo de bateria e capacidade para até 120 acessos biométricos, 150 senhas e 150 tags de aproximaCão, tornando-a ideal para locais com acesso restrito.O aplicativo permite o controle completo do acesso, possibilitando a geraCão de senhas temporárias e a visualizaCão do histórico de entrada e saída dos usuários. Sua instalaCão é simples e rápida, com instruCões de voz inteligente, e ainda conta com a opCão de recarga de emergência via porta USB.Diferencie sua seguranCa e simplifique a gestão de acessos com a Fechadura Digital Biométrica DV 1000 da Dovale.Mais sobre o Produto:Abertura via biometria digital, senha numérica touch screen, tag de aproximaCão, aplicativo, Bluetooth, Google Home e Alexa.Capacidade para até 120 acessos biométricos, 150 senhas e 150 tags de aproximaCão.Design discreto e elegante, sem comprometer a estética da porta.Controle de acesso pelo aplicativo, com geraCão de senhas temporárias e histórico de acessos.Fácil instalaCão e recarga de emergência via porta USB.Dicas de Uso:Utilize as diferentes opCões de abertura de acordo com a conveniência de cada usuário.Aproveite a funCão de gerar senhas temporárias para convidados ou prestadores de serviCos.Mantenha o histórico de acessos sempre monitorado pelo aplicativo para garantir a seguranCa do ambiente.Ficha Técnica:Marca: DovalePeso: 1,45 KgCapacidade: 120 Digitais/ 150 Senhas / 150 CartõesModos de Abertura: Biometria Digital, Senha Touch Screen, Chaveiro Tag, Aplicativo, Chave Mecânica Multiponto, Bluetooth, Wi-fi (Opcional), Google Home e AlexaEspessura da porta aplicável: 35-50mmTemperatura de trabalho: -25 °C a +65 °C;;
42110;Fechadura Digital Biométrica DV 500 - 42110;Fechadura Digital Biométrica DV 500 - DovaleTecnologia e SeguranCa para o seu dia a diaA Fechadura Digital Biométrica DV 500 da Dovale é a soluCão ideal para quem busca praticidade e seguranCa. Com diversas formas de abertura, como biometria digital, senha touch screen, chaveiro tag, aplicativo, bluetooth e wi-fi (opcional), essa fechadura oferece múltiplas opCões para acesso. Além disso, seu teclado touch screen luminoso facilita a digitaCão, tornando o processo de abertura ainda mais conveniente.Diferenciais:Baixo consumo de bateriaCapacidade para até 120 acessos via biometria, 150 senhas e 200 tagsIdeal para empresas, salas comerciais e hospedagens com acesso restritoGeraCão de senhas temporárias para maior seguranCaAplicativo que permite visualizar o histórico de entrada e saída dos usuáriosMais sobre o Produto:Biometria digital, senha touch screen, chaveiro tag, aplicativo, chave mecânicaPeso: 1,350 KGMarca: DovaleDicas de Uso:A Fechadura Digital Biométrica DV 500 é ideal para ser utilizada em locais com acesso restrito, proporcionando praticidade e seguranCa no dia a dia. Seu aplicativo permite o monitoramento do acesso dos usuários, tornando o controle de seguranCa ainda mais eficiente. Além disso, a possibilidade de gerar senhas temporárias é um recurso útil para hospedagens ou locais que precisam de um controle rigoroso de acesso.Ficha Técnica:Capacidade: 150 Digitais, 150 Senhas, 200 CartõesModos de Abertura: Biometria Digital, Senha Touch Screen, Chaveiro Tag, Aplicativo, Chave Mecânica Multiponto, Bluetooth, Wi-fi (Opcional);;
42112;Fechadura Digital Biométrica Inteligente TL102 - 42112;Fechadura Digital Biométrica Inteligente TL102 - DatoConveniência e SeguranCa em suas MãosA Fechadura Digital Biométrica Inteligente TL102 da Dato é a soluCão ideal para quem busca praticidade e seguranCa no dia a dia. Com um simples toque, você se livra da preocupaCão de procurar chaves, tendo o máximo de comodidade ao seu alcance.Indicada para: Portas de passagem de residências, escritórios, apartamentos, hotéis e armazenamento self-service5 opCões de abertura: Bluetooth, smart card, senha numérica, chave mecânica e biometriaEnvio de Senhas Digitais: Possibilidade de enviar senhas para mídias digitaisDesign Eficiente: Baixo consumo de bateria, durabilidade e forte anti-interferênciaCom uma fácil instalaCão, a Fechadura Digital TL102 se adapta tanto em portas direcionadas para a direita quanto para a esquerda, além de possuir uma lingueta de 70mm, sendo adequada para portas com espessuras entre 35 e 60 mm.Para facilitar sua experiência, o produto conta com o aplicativo Datoi - Dato Home, que possibilita o gerenciamento de senhas e usuários de forma intuitiva e inteligente.Não perca mais tempo procurando chaves e tenha o controle total de quem acessa seu espaCo de forma prática e segura com a Fechadura Digital Biométrica Inteligente TL102 - Dato.Ficha Técnica:Marca: DatoPeso: 3000gCategoria: Fechaduras Digitais e BiométricasDimensões: Adequada para portas com espessuras entre 35 e 60 mmAbertura: Bluetooth, smart card, senha numérica, chave mecânica e biometriaAplicativo: Datoi - Dato Home;;
